DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2023-0810-COL,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,COL,Colombia,Latin America and the Caribbean,Americas,"Atlantico, Bolivar, Magdalena, La Guajira",,,No,No,Yes,,,Km2,,,,2023,10,30,2023,11,28,,,41088,,41088,,,,,,,100,"[{""adm1_code"":937,""adm1_name"":""Atlantico""},{""adm1_code"":938,""adm1_name"":""Bolivar""},{""adm1_code"":950,""adm1_name"":""Guajira""},{""adm1_code"":953,""adm1_name"":""Magdalena""}]",2023-11-28,2024-06-26
2023-0811-FJI,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2023-000219,Tropical cyclone 'Mal',FJI,Fiji,Melanesia,Oceania,"Central, Eastern, Northern, Western, Rotuma",,"Flood|Slide (land, mud, snow, rock)",No,No,No,,,Kph,,,,2023,11,14,2023,11,15,,,230000,,230000,,,,,,,100,,2023-11-28,2023-12-19
2023-0812-IND,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,IND,India,Southern Asia,Asia,Gujarat state,,Flood|Hail|Lightening,No,No,No,,,Kph,,,,2023,11,26,2023,11,27,24,25,,,25,,,,,,,100,,2023-11-28,2023-12-01
2023-0814-PER,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,PER,Peru,Latin America and the Caribbean,Americas,"Chilca District, Huancan District and Huancayo District (Huancayo Province, Junìn Department) ",,,No,No,No,,,Km2,,,,2023,11,27,2023,11,29,,,168,,168,,,,,,,100,"[{""adm2_code"":24111,""adm2_name"":""Huancayo""}]",2023-11-30,2024-06-26
2023-0815-AUS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,AUS,Australia,Australia and New Zealand,Oceania,"New South Wales, Victoria, South Australia and south-eastern Queensland States ",Heavy rains,Lightening|Storm,No,No,No,,,Km2,,,,2023,11,27,2023,11,30,,,390,,390,,,,,,,100,,2023-11-30,2023-12-01
2023-0820-IDN,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,,Mount Marapi,IDN,Indonesia,South-eastern Asia,Asia,Sumatra Isl.,,,No,No,No,,,,,,,2023,12,3,2023,12,3,23,12,75,,87,,,,,,,100,,2023-12-05,2023-12-08
2023-0824-JOR,No,nat-met-ext-col,Natural,Meteorological,Extreme temperature,Cold wave,GLIDE:CW-2023-000242,,JOR,Jordan,Western Asia,Asia,"Ajloun, Karak, Mafraq, Amman, Taleh, Irbid, Maan",,Flood,No,No,No,,10,°C,,,,2023,11,19,2023,12,8,,,2000,,2000,,,,,,,100,,2023-12-08,2023-12-08
2023-0825-CAF,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,,CAF,Central African Republic,Sub-Saharan Africa,Africa,"Borno, Amameu, Yadouma, Yafara, Boy-gbaya, Moussa-Gbadou 1, 2 and 3 (Bria, Haute Kotto Prefecture)",,Flood|Lightening,No,No,No,,,Kph,,,,2023,10,31,2023,11,1,,,6066,,6066,,,,,,,100,,2023-12-08,2023-12-08
2023-0826-USA,No,nat-met-sto-sev,Natural,Meteorological,Storm,Severe weather,,,USA,United States of America,Northern America,Americas,"Nashville City, Davidson County; Clarksville City, Montgomery County in (Tennesee state); Louisiana; Connecticut",,Flood|Lightening,No,No,No,,,Kph,,,,2023,12,9,2023,12,11,6,91,1950,,2041,,,,,100000,100000,100,,2023-12-11,2023-12-18
2023-0827-COD,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Bukavu,Heavy rains,,No,No,No,,,,,,,2023,12,10,2023,12,11,14,,,,,,,,,,,100,,2023-12-11,2023-12-18
